Coin,TotalTrades,TotalPnL,AveragePnL,MedianPnL,MaximumPnL,MinimumPnL,TotalVolumeUSD,AverageTradeSize,WinRate,UniqueTraders
MNT,8,-21.057177,-2.632147125,0.0,0.099813,-13.529568,1340.22,167.5275,12.5,1
@95,2,-29.438061,-14.7190305,-14.7190305,0.0,-29.438061,120.78,60.39,0.0,1
FIL,5,-35.27859,-7.055718000000001,-0.11286,0.0,-33.91173,19806.989999999998,3961.3979999999997,0.0,1
@49,5,-40.712216999999995,-8.1424434,-5.191848,0.0,-29.513287,959.28,191.856,0.0,1
@151,24,-48.868567999999996,-2.0361903333333333,0.0,0.0,-26.926164,25311.1,1054.6291666666666,0.0,3
@112,7,-52.114723999999995,-7.444960571428571,0.0,14.334509,-79.352953,759.63,108.51857142857143,28.57142857142857,3
@9,3,-58.564889,-19.521629666666666,0.0,0.0,-58.564889,242.32,80.77333333333333,0.0,2
BANANA,8,-81.48518800000001,-10.185648500000001,-7.276936,0.0,-37.3252,1078.52,134.815,0.0,1
@4,885,-95.963977,-0.10843387231638418,0.0,154.000489,-142.946134,87457.2,98.82169491525423,10.056497175141244,2
FXS,101,-121.92971200000001,-1.2072248712871287,0.0,59.09,-199.52222,113054.22,1119.348712871287,31.683168316831683,2
@124,8,-128.603876,-16.0754845,-16.064244000000002,0.0,-35.240825,1173.08,146.635,0.0,1
CANTO,10,-188.49813000000003,-18.849813000000005,-0.021,0.0,-163.444498,20132.280000000002,2013.2280000000003,0.0,2
@51,220,-330.876576,-1.5039844363636363,0.0,0.0,-288.283113,18319.94,83.27245454545454,0.0,3
@147,5,-350.632694,-70.1265388,-83.745867,-42.123002,-84.6165,612.5600000000001,122.51200000000001,0.0,1
OM,43,-775.0843229999999,-18.025216813953488,0.4086,17.867904,-908.74091,13968.95,324.85930232558144,58.139534883720934,2
@83,36,-1087.633355,-30.212037638888887,0.0,0.0,-891.16104,1426.41,39.6225,0.0,2
CRV,138,-1249.722505,-9.05596018115942,0.0,99.235828,-1149.124536,121969.81999999999,883.8392753623187,32.608695652173914,2
ZEN,30,-1475.390707,-49.17969023333333,0.0,8.835627,-390.93418,38169.05,1272.3016666666667,26.666666666666668,2
STRK,48,-1517.376015,-31.6120003125,0.0,17.09521,-700.629094,83026.4,1729.7166666666665,43.75,3
NIL,226,-3175.273635,-14.049883340707964,0.0,30.95624,-314.366208,481868.22,2132.1602654867256,7.52212389380531,2
@135,1,-5981.36399,-5981.36399,-5981.36399,-5981.36399,-5981.36399,15.56,15.56,0.0,1
S,144,-8644.845718,-60.033650819444446,-26.0304,2341.90891,-1298.8288,224183.08,1556.8269444444443,25.694444444444443,3
IO,350,-21896.726523,-62.56207578,0.0,80.28156,-2806.5,252540.48,721.5442285714286,16.28571428571429,2
ADA,577,-27048.46197,-46.877750381282496,0.0,669.590096,-4676.755988,1088591.39,1886.6401906412477,27.03639514731369,6
FARTCOIN,3431,-96451.239506,-28.11169906907607,0.0,1574.556825,-9454.732356,5462044.7,1591.9687263188575,38.96823083649082,10
